1,Lee Taeyong,Taeyong,Seul Corea del Sur,1995-07-01,174,S,1
2,Qian Kun,Kun,Fuijan China,1996-01-01,176,S,2
3,Moon Taeil,Taeil,Seul Corea del Sur,1994-06-14,171,S,1
4,Johnny Suh,Johnny,Chicago EEUU,1995-02-09,185,M,3
5,Nakamoto Yuta,Yuta,Osaka Japon,1995-10-26,176,S,4
6,Kim Dongyoung,Doyoung,Guri Corea del Sur,1996-02-01,178,S,1
7,Chittaphon Leechaiyapornkul,Ten,Bangkok Tailandia,1996-02-27,172,S,5
8,Jung Yoon Oh,Jaehyun,Seul Corea del Sur,1997-02-14,180,M,1
9,Dong Sicheng,winwin,Wenzhou China,1997-10-28,180,S,2
10,Kim Jungwoo,Jungwoo,Sabondong Corea del Sur,1998-02-19,185,M,1
11,Huang Xuxi,Lucas,HongKong China,1999-01-25,185,M,2
12,Mark Lee,Mark,Toronto Canada,1999-08-02,176,S,5
13,Xiao Dejun,Xiaojun,Guangdong China,1999-08-08,172,S,2
14,Huang Guanheng,Hendery,Macao China,1999-09-28,175,S,2
15,Huang Ren Jun,Renjun,Jilin China,2000-03-23,171,S,2
16,Lee Jeno,Jeno,Incheon Corea del Sur,2000-04-23,177,S,1
17,Lee Donghyuck,Haechan,Seul Corea del Sur,2000-06-06,174,S,1
18,Na Jaemin,Jaemin,Jeounju Corea del Sur,2000-08-13,177,S,1
19,Liu Yangyang,Yangyang,Taiwan,2000-10-10,180,S,2
20,Osaki Shotaro,Shotaro,Kanagawa Japon,2000-11-25,176,S,4
21,Jung Sungchan,Sungchan,Seul Corea del Sur,2000-09-13,186,M,1
22,Zhong Chenle,Chenle,Shanghai China,2001-11-22,174,S,2
23,Park Jisung,Jisung,Seul Corea del Sur,2002-02-05,185,M,1
